id,type,name,filepath
file::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\main.py,File,main.py,C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\main.py
func::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\main.py::run_checkout,Function,run_checkout,C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\main.py
func::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\main.py::main,Function,main,C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\main.py
file::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\repositories\__init__.py,File,__init__.py,C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\repositories\__init__.py
file::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\repositories\order_repo.py,File,order_repo.py,C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\repositories\order_repo.py
func::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\repositories\order_repo.py::save_order,Function,save_order,C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\repositories\order_repo.py
func::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\repositories\order_repo.py::list_orders,Function,list_orders,C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\repositories\order_repo.py
file::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\repositories\user_repo.py,File,user_repo.py,C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\repositories\user_repo.py
func::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\repositories\user_repo.py::get_user_by_token,Function,get_user_by_token,C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\repositories\user_repo.py
file::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\services\__init__.py,File,__init__.py,C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\services\__init__.py
file::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\services\auth_service.py,File,auth_service.py,C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\services\auth_service.py
func::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\services\auth_service.py::get_authenticated_user,Function,get_authenticated_user,C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\services\auth_service.py
file::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\services\notification_service.py,File,notification_service.py,C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\services\notification_service.py
func::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\services\notification_service.py::send_receipt_email,Function,send_receipt_email,C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\services\notification_service.py
file::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\services\order_service.py,File,order_service.py,C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\services\order_service.py
func::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\services\order_service.py::checkout_order,Function,checkout_order,C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\services\order_service.py
file::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\utils\__init__.py,File,__init__.py,C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\utils\__init__.py
file::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\utils\audit.py,File,audit.py,C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\utils\audit.py
func::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\utils\audit.py::record_event,Function,record_event,C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\utils\audit.py
